artist_name,canonical_key,primary_bucket,secondary_buckets,era_focus,scene_depth,seed_priority,seed_score,confidence,confidence_score,inclusion_rationale,source_basis,source_url,review_flag
49ers,49ers,Legacy / Crossover House Reference,House; Euro House; Vocal House; Electro House; Progressive crossover,1980s-2010s,Legacy / broad reference,5,25,Medium,2,Added for broad reference and legacy/crossover coverage; lower seed priority for niche-house recommendation.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
4hero,4hero,Classic / Deep / Soulful House,Chicago House; Detroit; Detroit House; Garage House; NYC House; New Jersey; Soulful House; Vocal House; broken beat-adjacent; deep / soulful / classic / gospel / Detroit house; deep house; gospel; soulful,1980s-2010s,Legacy / foundation / core,1,100,High,3,"Included as foundational house, deep house, soulful house, garage and vocal-house canon.",Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,metadata_enrichment_needed
808 State,808 state,Chicago / acid / jackin / ghetto house,Electro House; Euro House; House; Ibiza lineage; Legacy / Crossover House Reference; Progressive crossover; Vocal House; acid house; ambient house; artist projects and aliases useful for matching releases; balearic; ghetto house; jackin house; juke/footwork roots; progressive; rave,1980s-2020s,D_underground_scene_important,3,60,High,3,Added for broad reference and legacy/crossover coverage; lower seed priority for niche-house recommendation.,musicbrainz_house,https://musicbrainz.org/genre/a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,metadata_enrichment_needed
8Kays,8kays,melodic house / melodic techno / progressive,Afro House; Afterlife; Anjunadeep; Deep Tech; Diynamic; Emerging / Niche House Radar; Indie Dance; Innervisions; Melodic House; Tech House; This Never Happened; UK House; club culture; deep/garage/tech/afro/melodic mix; identity/scene priors; progressive house,2010s-2020s,C_current_global_house,2,80,High,3,Added to improve niche and modern-scene coverage beyond obvious headline artists.,beatport_genres,https://greenroomsupport.beatport.com/hc/en-us/articles/41043520429076-Beatport-Genres-Including-NEW-Open-Format-Genres,metadata_enrichment_needed
95 North,95 north,commercial / festival / house-adjacent,,mixed,F_house_adjacent_expansion,5,25,Medium,2,broad global electronic/house base from prior v1 list,curated_knowledge,https://musicbrainz.org/genres,
A Guy Called Gerald,a guy called gerald,Chicago / acid / jackin / ghetto house,acid house; jackin house; ghetto house; juke/footwork roots; balearic; progressive; ambient house; rave; Ibiza lineage,1980s-2020s,D_underground_scene_important,3,60,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,musicbrainz_house,https://musicbrainz.org/genre/a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,metadata_enrichment_needed
A Love From Outer Space,a love from outer space,Disco / Nu-Disco / Jackin / Balearic House,French Touch; Funky House; Nu-Disco; Jackin House; Balearic; Indie Dance,1990s-2020s,Core + tastemaker scene coverage,2,80,Medium,2,Included for house-adjacent disco/funk/Balearic and crate-digging scenes that shape modern house taste.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
A Made Up Sound,a made up sound,leftfield / lo-fi / outsider / experimental house,lo-fi house; outsider house; ambient house; broken house; leftfield club,1990s-2020s,E_long_tail_niche_seed,4,40,Medium,2,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,ra_underground,https://www.youredm.com/2016/12/06/resident-advisor-releases-2016-poll-top-djs/,metadata_enrichment_needed
A Man Called Adam,a man called adam,classic rave / progressive / balearic house-adjacent,balearic; progressive; ambient house; rave; Ibiza lineage,1980s-2000s,E_long_tail_niche_seed,4,40,Medium,2,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,ra_underground,https://www.youredm.com/2016/12/06/resident-advisor-releases-2016-poll-top-djs/,metadata_enrichment_needed
A-Trak,a trak,Legacy / Crossover House Reference,Electro House; Euro House; House; Progressive crossover; Vocal House; commercial / festival / house-adjacent,1980s-2010s,Legacy / broad reference,5,25,Medium,2,Added for broad reference and legacy/crossover coverage; lower seed priority for niche-house recommendation.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
Aaaron,aaaron,afro / organic / global house,afro house; afro melodic; organic; arabic/mena; tribal; 3-step; amapiano-adjacent,2010s-2020s,C_current_global_house,2,80,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,beatportal_afro,https://www.beatportal.com/articles/556880-afro-house-is-now-a-beatport-hype-genre,metadata_enrichment_needed
Aares,aares,Afro / Organic / Global House,Afro House; Deep House; Afro Latin; Compilation-radar,2020s,Niche / release-radar,4,40,Medium,2,Added from current Beatport/Traxsource release contexts to capture niche Afro/organic names similar to Moojo/Grigoré universe.,Beatport Moojo,https://www.beatport.com/artist/moojo/755245,
Aaron Carl,aaron carl,commercial / festival / house-adjacent,,mixed,F_house_adjacent_expansion,5,25,Medium,2,broad global electronic/house base from prior v1 list,curated_knowledge,https://musicbrainz.org/genres,
Aaron Sevilla,aaron sevilla,Afro / Organic / Global House,3-step; Afro House; Afro Latin; Afro Tech; Amapiano-adjacent; Brazilian House; Deep House; Latin / Tribal / Brazilian House; Latin House; Organic House; Tribal House; afro / organic / global house; afro house; afro melodic; amapiano-adjacent; arabic/mena; brazilian bass; ibiza/iberia; latin house; organic; tribal; tribal latin,2010s-2020s,Core + niche scene coverage,2,80,Medium,2,Included to widen Afro/organic/global house coverage beyond mainstream festival names.,Beatportal 2025 Afro House,https://www.beatportal.com/articles/1208401-genre-the-top-selling-tracks-artists-and-labels-of-2025,metadata_enrichment_needed
Aaryon,aaryon,Emerging / Niche House Radar,Tech House; Deep Tech; Afro House; Melodic House; UK House; Indie Dance,2020s,Niche / emerging / radar,3,60,Medium,2,Added to improve niche and modern-scene coverage beyond obvious headline artists.,Traxsource Top 500 2025,https://www.traxsource.com/list/160/top-artists-of-2025,
Abacus,abacus,commercial / festival / house-adjacent,,mixed,F_house_adjacent_expansion,5,25,Medium,2,broad global electronic/house base from prior v1 list,curated_knowledge,https://musicbrainz.org/genres,
ABC,abc,Legacy / Crossover House Reference,House; Euro House; Vocal House; Electro House; Progressive crossover,1980s-2010s,Legacy / broad reference,5,25,Medium,2,Added for broad reference and legacy/crossover coverage; lower seed priority for niche-house recommendation.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
Abel,abel,underground / disco / leftfield expansion,,mixed,E_long_tail_niche_seed,4,40,Medium,2,long-tail underground base from prior v1 list,curated_knowledge,https://musicbrainz.org/genres,
Abel Balder,abel balder,Current chart leaders,House; Tech House; Afro House; Deep House; Melodic House & Techno; Progressive House,2020s,Current chart leader / high-signal,1,100,High,3,Pulled from current Beatport/Traxsource chart ecosystems and related release contexts.,Beatportal 2025 House,https://www.beatportal.com/articles/1210869-house-the-top-selling-tracks-artists-and-labels-of-2025,
Abicah Soul,abicah soul,commercial / festival / house-adjacent,,mixed,F_house_adjacent_expansion,5,25,Medium,2,broad global electronic/house base from prior v1 list,curated_knowledge,https://musicbrainz.org/genres,
Above & Beyond,above and beyond,Mainstream / Crossover House,Dance Pop; Electro House; Future House; Progressive Crossover; Tropical House; commercial / festival / house-adjacent,2000s-2020s,Mainstream crossover / broad recall,4,40,Medium,2,Included for broad recall and commercial/streaming-oriented house adjacency; lower priority for niche house taste models.,Wikipedia Progressive House Artists,https://en.wikipedia.org/wiki/List_of_progressive_house_artists,
ABSOLUTE.,absolute,UK house / garage / club / bassline,UKG; 2-step; speed garage; bass house; UK funky; club music,1990s-2020s,D_underground_scene_important,3,60,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,musicbrainz_house,https://musicbrainz.org/genre/a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,metadata_enrichment_needed
AC Slater,ac slater,Tech House / Minimal / Deep Tech,2-step; Bassline; Cuttin Headz; Deep Tech; Fuse; Future Garage; Garage House; Hot Creations; Microhouse; Minimal; PIV; Solid Grooves; Speed Garage; Tech House; Toolroom; UK Funky; UK Garage / Bassline / UK House; UK House; UK Tech House; UK funky; UKG; artist projects and aliases useful for matching releases; bass house; bass/future house; club music; commercial discovery bridge; house-pop; speed garage; tech house / minimal / deep tech / rominimal; tech-house long-tail,1990s-2020s,Core + underground scene coverage,2,80,Medium,2,"Included for tech-house, minimal, deep-tech, rominimal and current underground scene coverage.",Beatportal 2025 Tech House,https://www.beatportal.com/articles/1216009-tech-house-the-top-selling-tracks-artists-and-labels-of-2025,metadata_enrichment_needed
Ace Shyllon,ace shyllon,Afro / Organic / Global House,Afro House; Deep House; Afro Latin; Compilation-radar,2020s,Niche / release-radar,4,40,Medium,2,Added from current Beatport/Traxsource release contexts to capture niche Afro/organic names similar to Moojo/Grigoré universe.,Beatport Moojo,https://www.beatport.com/artist/moojo/755245,
AceMo,acemo,Lo-Fi / Leftfield / Underground House,Lo-Fi House; Leftfield House; Deep House; Minimal; Balearic; Underground,2000s-2020s,Tastemaker / underground coverage,3,60,Medium,2,"Included for less obvious underground house, leftfield and selector-driven discovery routes.",AcousticBrainz Genre Dataset,https://mtg.github.io/acousticbrainz-genre-dataset/,
AceMoMa,acemoma,Lo-Fi / Leftfield / Underground House,Lo-Fi House; Leftfield House; Deep House; Minimal; Balearic; Underground,2000s-2020s,Tastemaker / underground coverage,3,60,Medium,2,"Included for less obvious underground house, leftfield and selector-driven discovery routes.",AcousticBrainz Genre Dataset,https://mtg.github.io/acousticbrainz-genre-dataset/,
Acid Arab,acid arab,underground / disco / leftfield expansion,,mixed,E_long_tail_niche_seed,4,40,Medium,2,long-tail underground base from prior v1 list,curated_knowledge,https://musicbrainz.org/genres,
Acid Mondays,acid mondays,Chicago / acid / jackin / ghetto house,acid house; jackin house; ghetto house; juke/footwork roots,1980s-2020s,D_underground_scene_important,3,60,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,musicbrainz_house,https://musicbrainz.org/genre/a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,metadata_enrichment_needed
Acid Pauli,acid pauli,afro / organic / global house,3-step; Afro Latin; Brazilian House; Ibiza lineage; Latin / Tribal / Brazilian House; Latin House; Organic House; Tribal House; afro house; afro melodic; amapiano-adjacent; ambient house; arabic/mena; balearic; organic; progressive; rave; tribal,2010s-2020s,C_current_global_house,2,80,High,3,"Included for Latin, tribal, Brazilian and Iberian house coverage that frequently overlaps Afro/organic house.",beatportal_afro,https://www.beatportal.com/articles/556880-afro-house-is-now-a-beatport-hype-genre,metadata_enrichment_needed
ACRAZE,acraze,mainstage / commercial / future / bass house bridge,commercial discovery bridge; house-pop; bass/future house,2000s-2020s,F_house_adjacent_expansion,5,25,Medium,2,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,djmag_top100,https://djmag.com/top100djs,metadata_enrichment_needed
Across Boundaries,across boundaries,Current chart leaders,House; Tech House; Afro House; Deep House; Melodic House & Techno; Progressive House,2020s,Current chart leader / high-signal,1,100,High,3,Pulled from current Beatport/Traxsource chart ecosystems and related release contexts.,Beatportal 2025 House,https://www.beatportal.com/articles/1210869-house-the-top-selling-tracks-artists-and-labels-of-2025,
Actress,actress,leftfield / lo-fi / outsider / experimental house,lo-fi house; outsider house; ambient house; broken house; leftfield club,1990s-2020s,E_long_tail_niche_seed,4,40,Medium,2,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,ra_underground,https://www.youredm.com/2016/12/06/resident-advisor-releases-2016-poll-top-djs/,metadata_enrichment_needed
Ada,ada,Lo-Fi / Leftfield / Underground House,Lo-Fi House; Leftfield House; Deep House; Minimal; Balearic; Underground,2000s-2020s,Tastemaker / underground coverage,3,60,Medium,2,"Included for less obvious underground house, leftfield and selector-driven discovery routes.",AcousticBrainz Genre Dataset,https://mtg.github.io/acousticbrainz-genre-dataset/,
Ada Kaleh,ada kaleh,Tech House / Minimal / Deep Tech,Balearic; Deep House; Deep Tech; Leftfield House; Lo-Fi / Leftfield / Underground House; Lo-Fi House; Microhouse; Minimal; Tech House; UK Tech House; Underground,1990s-2020s,Core + underground scene coverage,2,80,Medium,2,"Included for tech-house, minimal, deep-tech, rominimal and current underground scene coverage.",AcousticBrainz Genre Dataset,https://www.beatportal.com/articles/1216009-tech-house-the-top-selling-tracks-artists-and-labels-of-2025,
Adam Port,adam port,Current chart leaders,3-step; Afro / Organic / Global House; Afro House; Afro Tech; Amapiano-adjacent; Deep House; House; Indie Dance; Melodic / Progressive House; Melodic House & Techno; Organic House; Progressive House; Tech House; Tribal House; afro house; afro melodic; amapiano-adjacent; arabic/mena; artist projects and aliases useful for matching releases; classic / canonical / global house; organic; tribal,2020s,Current chart leader / high-signal,1,100,High,3,canonical base from prior v1 list; v2 expanded niche coverage; includes long-tail/subgenre/scene signal,Beatportal 2025 Melodic H&T,https://www.beatportal.com/articles/1210869-house-the-top-selling-tracks-artists-and-labels-of-2025,
Adam Shelton,adam shelton,tech house / minimal / deep tech / rominimal,Solid Grooves; Hot Creations; PIV; Fuse; Cuttin Headz; Toolroom; tech-house long-tail,2000s-2020s,C_current_global_house,2,80,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,musicbrainz_tech,https://musicbrainz.org/genre/1f9c4b4a-c43d-40bd-b806-357153641fd0,metadata_enrichment_needed
Adam Ten,adam ten,Afro / Organic / Global House,Afro House; Afro Latin; Afro Tech; Afterlife; Amapiano-adjacent; Anjunadeep; Brazilian House; Deep House; Diynamic; Indie Dance; Innervisions; Latin / Tribal / Brazilian House; Latin House; Melodic / Progressive House; Melodic House & Techno; Organic House; Progressive House; This Never Happened; Tribal House; melodic house / melodic techno / progressive; progressive house,2010s-2020s,Core + niche scene coverage,2,80,Medium,2,Included to widen Afro/organic/global house coverage beyond mainstream festival names.,Beatportal 2025 Melodic H&T,https://www.beatportal.com/articles/1208401-genre-the-top-selling-tracks-artists-and-labels-of-2025,metadata_enrichment_needed
Adana Twins,adana twins,melodic house / melodic techno / progressive,Afterlife; Anjunadeep; Diynamic; Innervisions; This Never Happened; progressive house,2010s-2020s,C_current_global_house,2,80,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,beatport_genres,https://greenroomsupport.beatport.com/hc/en-us/articles/41043520429076-Beatport-Genres-Including-NEW-Open-Format-Genres,metadata_enrichment_needed
ADDAM (BE),addam be,Current chart leaders,House; Tech House; Afro House; Deep House; Melodic House & Techno; Progressive House,2020s,Current chart leader / high-signal,1,100,High,3,Pulled from current Beatport/Traxsource chart ecosystems and related release contexts.,Beatportal 2025 House,https://www.beatportal.com/articles/1210869-house-the-top-selling-tracks-artists-and-labels-of-2025,
Adeva,adeva,Classic / Deep / Soulful House,Chicago / acid / jackin / ghetto house; Chicago House; Detroit House; Garage House; NYC House; Soulful House; Vocal House; acid house; ghetto house; jackin house; juke/footwork roots,1980s-2010s,Legacy / foundation / core,1,100,High,3,"Included as foundational house, deep house, soulful house, garage and vocal-house canon.",Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,metadata_enrichment_needed
Admin,admin,Disco / Nu-Disco / Jackin / Balearic House,French Touch; Funky House; Nu-Disco; Jackin House; Balearic; Indie Dance,1990s-2020s,Core + tastemaker scene coverage,2,80,Medium,2,Included for house-adjacent disco/funk/Balearic and crate-digging scenes that shape modern house taste.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
ADMNTi,admnti,tech house / minimal / deep tech / rominimal,Solid Grooves; Hot Creations; PIV; Fuse; Cuttin Headz; Toolroom; tech-house long-tail,2000s-2020s,C_current_global_house,2,80,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,musicbrainz_tech,https://musicbrainz.org/genre/1f9c4b4a-c43d-40bd-b806-357153641fd0,metadata_enrichment_needed
Adonis,adonis,Classic / Deep / Soulful House,Chicago House; Detroit House; Garage House; NYC House; Soulful House; Vocal House; acid house; classic / canonical / global house; ghetto house; jackin house; juke/footwork roots,1980s-2010s,Legacy / foundation / core,1,100,High,3,canonical base from prior v1 list; v2 expanded niche coverage; includes long-tail/subgenre/scene signal,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
ADR (UK),adr uk,Tech House / Minimal / Deep Tech,Tech House; Minimal; Deep Tech; Microhouse; UK Tech House,1990s-2020s,Core + underground scene coverage,2,80,Medium,2,"Included for tech-house, minimal, deep-tech, rominimal and current underground scene coverage.",Beatportal 2025 Tech House,https://www.beatportal.com/articles/1216009-tech-house-the-top-selling-tracks-artists-and-labels-of-2025,
Adri Block,adri block,commercial / festival / house-adjacent,,mixed,F_house_adjacent_expansion,5,25,Medium,2,broad global electronic/house base from prior v1 list,curated_knowledge,https://musicbrainz.org/genres,
Adriatique,adriatique,Melodic / Progressive House,Afro House; Afterlife; Anjunadeep; Deep Tech; Diynamic; Emerging / Niche House Radar; Indie Dance; Innervisions; Melodic House; Melodic House & Techno; Organic House; Progressive House; Tech House; This Never Happened; UK House; melodic / progressive / organic house; progressive house,2000s-2020s,Core + scene coverage,2,80,Medium,2,melodic/progressive base from prior v1 list; v2 expanded niche coverage; includes long-tail/subgenre/scene signal,Beatportal 2025 Melodic H&T,https://www.beatportal.com/articles/1212753-melodic-house-techno-the-top-selling-tracks-artists-and-labels-of-2025,
Adventures Of Stevie V,adventures of stevie v,Current chart leaders,House; Tech House; Afro House; Deep House; Melodic House & Techno; Progressive House,2020s,Current chart leader / high-signal,1,100,High,3,Pulled from current Beatport/Traxsource chart ecosystems and related release contexts.,Beatportal 2025 House,https://www.beatportal.com/articles/1210869-house-the-top-selling-tracks-artists-and-labels-of-2025,
Aera,aera,Melodic / Progressive House,Afterlife; Anjunadeep; Diynamic; Indie Dance; Innervisions; Melodic House & Techno; Organic House; Progressive House; This Never Happened; afro / organic / global house; progressive house,2000s-2020s,Core + scene coverage,2,80,Medium,2,afro/organic base from prior v1 list; v2 expanded niche coverage; includes long-tail/subgenre/scene signal,Beatportal 2025 Melodic H&T,https://www.beatportal.com/articles/1212753-melodic-house-techno-the-top-selling-tracks-artists-and-labels-of-2025,
Aero Manyelo,aero manyelo,afro / organic / global house,afro house; afro melodic; organic; arabic/mena; tribal; 3-step; amapiano-adjacent; afro-house adjacency for recommendation bridges,2010s-2020s,C_current_global_house,2,80,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,beatportal_afro,https://www.beatportal.com/articles/556880-afro-house-is-now-a-beatport-hype-genre,metadata_enrichment_needed
Aeroplane,aeroplane,Disco / Nu-Disco / Jackin / Balearic House,2-step; Balearic; Detroit; French Touch; Funky House; Indie Dance; Jackin House; New Jersey; Nu-Disco; UK funky; UKG; bass house; broken beat-adjacent; club music; deep / soulful / classic / gospel / Detroit house; deep house; disco edits; filter house; french house; gospel; nu-disco; soulful; speed garage,1990s-2020s,Core + tastemaker scene coverage,2,80,Medium,2,Included for house-adjacent disco/funk/Balearic and crate-digging scenes that shape modern house taste.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,metadata_enrichment_needed
Aevion,aevion,commercial / festival / house-adjacent,,mixed,F_house_adjacent_expansion,5,25,Medium,2,broad global electronic/house base from prior v1 list,curated_knowledge,https://musicbrainz.org/genres,
Afefe Iku,afefe iku,afro / organic / global house,afro house; afro melodic; organic; arabic/mena; tribal; 3-step; amapiano-adjacent; deep house; Detroit; New Jersey; soulful; gospel; broken beat-adjacent,2010s-2020s,C_current_global_house,2,80,High,3,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,beatportal_afro,https://www.beatportal.com/articles/556880-afro-house-is-now-a-beatport-hype-genre,metadata_enrichment_needed
Africanique,africanique,Afro / Organic / Global House,Afro House; Deep House; Afro Latin; Compilation-radar,2020s,Niche / release-radar,4,40,Medium,2,Added from current Beatport/Traxsource release contexts to capture niche Afro/organic names similar to Moojo/Grigoré universe.,Beatport Moojo,https://www.beatport.com/artist/moojo/755245,
Africanism,africanism,Disco / Nu-Disco / Jackin / Balearic House,French Touch; Funky House; Nu-Disco; Jackin House; Balearic; Indie Dance,1990s-2020s,Core + tastemaker scene coverage,2,80,Medium,2,Included for house-adjacent disco/funk/Balearic and crate-digging scenes that shape modern house taste.,Wikipedia House Artists,https://en.wikipedia.org/wiki/List_of_house_music_artists,
Afrikan Sciences,afrikan sciences,leftfield / lo-fi / outsider / experimental house,lo-fi house; outsider house; ambient house; broken house; leftfield club,1990s-2020s,E_long_tail_niche_seed,4,40,Medium,2,v2 expanded niche coverage; includes long-tail/subgenre/scene signal,ra_underground,https://www.youredm.com/2016/12/06/resident-advisor-releases-2016-poll-top-djs/,metadata_enrichment_needed
Afro Medusa,afro medusa,Latin / Tribal / Brazilian House,Latin House; Tribal House; Brazilian House; Organic House; Afro Latin,1990s-2020s,Regional / scene coverage,3,60,Medium,2,"Included for Latin, tribal, Brazilian and Iberian house coverage that frequently overlaps Afro/organic house.",MusicBrainz Genre List,https://musicbrainz.org/genres,
Afro Warriors,afro warriors,Afro / Organic / Global House,Afro House; Afro Tech; Amapiano-adjacent; Deep House; Organic House; Tribal House; afro / organic / global house,2010s-2020s,Core + niche scene coverage,2,80,Medium,2,Included to widen Afro/organic/global house coverage beyond mainstream festival names.,Beatportal 2025 Afro House,https://www.beatportal.com/articles/1208401-genre-the-top-selling-tracks-artists-and-labels-of-2025,
Afrodisiac (IT),afrodisiac it,Afro / Organic / Global House,Afro House; Deep House; Afro Latin; Compilation-radar,2020s,Niche / release-radar,4,40,Medium,2,Added from current Beatport/Traxsource release contexts to capture niche Afro/organic names similar to Moojo/Grigoré universe.,Beatport Moojo,https://www.beatport.com/artist/moojo/755245,
Afrojack,afrojack,Mainstream / Crossover House,Dance Pop; Electro House; Future House; Progressive Crossover; Tropical House; bass/future house; commercial / festival / house-adjacent; commercial discovery bridge; house-pop,2000s-2020s,Mainstream crossover / broad recall,4,40,Medium,2,broad global electronic/house base from prior v1 list; v2 expanded niche coverage; includes long-tail/subgenre/scene signal,Wikipedia Progressive House Artists,https://en.wikipedia.org/wiki/List_of_progressive_house_artists,
Afrokillerz,afrokillerz,afro / organic / global house,,mixed,C_current_global_house,2,80,High,3,afro/organic base from prior v1 list,curated_knowledge,https://musicbrainz.org/genres,
Against All Logic,against all logic,Lo-Fi / Leftfield / Underground House,Lo-Fi House; Leftfield House; Deep House; Minimal; Balearic; Underground,2000s-2020s,Tastemaker / underground coverage,3,60,Medium,2,"Included for less obvious underground house, leftfield and selector-driven discovery routes.",AcousticBrainz Genre Dataset,https://mtg.github.io/acousticbrainz-genre-dataset/,
Agent Greg,agent greg,tech house / minimal / club house,,mixed,C_current_global_house,2,80,High,3,tech-house and modern club base from prior v1 list,curated_knowledge,https://musicbrainz.org/genres,
Agents Of Time,agents of time,Melodic / Progressive House,Afterlife; Anjunadeep; Diynamic; Indie Dance; Innervisions; Melodic House & Techno; Organic House; Progressive House; This Never Happened; melodic house / melodic techno / progressive; progressive house,2000s-2020s,Core + scene coverage,2,80,Medium,2,"Included for melodic, progressive, cinematic and deeper journey-house coverage.",Beatportal 2025 Melodic H&T,https://www.beatportal.com/articles/1212753-melodic-house-techno-the-top-selling-tracks-artists-and-labels-of-2025,metadata_enrichment_needed
